knotty; 1;
whose; 27;
theeues; 1;
behind; 1;
gone; 13;
lethe; 1;
reuerend; 1;
difference; 1;
wormes; 2;
whereas; 1;
bell; 2;
whereat; 1;
prettinesse; 1;
gon; 1;
bels; 1;
goodly; 3;
witching; 1;
sorts; 1;
got; 2;
crust; 1;
coffin; 1;
immediately; 1;
cat; 1;
volt; 2;
presentment; 1;
gonzago; 3;
can; 34;
drugges; 1;
cap; 3;
breathing; 2;
children; 3;
struck; 1;
repulsed; 1;
harping; 1;
turfe; 1;
desirous; 1;
neere; 9;
sounds; 1;
beleeue; 17;
shuffling; 2;
tricks; 1;
ouerpeering; 1;
orchard; 2;
dreines; 1;
you; 522;
progresse; 1;
sixe; 3;
yon; 1;
doth; 27;
scandall; 1;
tables; 3;
immediate; 1;
couch; 2;
somewhat; 1;
dost; 12;
bent; 3;
prouoke; 1;
craft; 2;
parle; 1;
gainst; 5;
people; 1;
beyond; 2;
womens; 1;
reuisits; 1;
timbred; 1;
shadow; 3;
inexplicable; 1;
sliuer; 1;
poysoning; 1;
gape; 1;
equall; 2;
mainly; 1;
disclose; 1;
disclosd; 2;
begge; 6;
tragicallcomicallhistoricallpastorall; 1;
choppine; 1;
reeles; 1;
vnmastred; 1;
gore; 1;
paire; 2;
quicksiluer; 1;
summe; 1;
euermore; 1;
captaine; 1;
innocculate; 1;
oreheare; 1;
tickled; 1;
bended; 1;
prating; 1;
put; 22;
drinkes; 2;
probation; 1;
puh; 2;
serpent; 2;
paris; 1;
oreswaies; 1;
twice; 4;
farewell; 15;
spight; 1;
carpenter; 2;
conuenience; 1;
eaten; 1;
eates; 1;
poysons; 1;
bulwarke; 1;
theme; 1;
hauet; 1;
tedious; 2;
nunnery; 4;
royally; 1;
giuers; 1;
conquest; 1;
poysond; 3;
vndertake; 2;
vnwholsome; 1;
curse; 1;
turke; 1;
beget; 1;
alacke; 3;
swift; 2;
nettles; 1;
discomfort; 1;
ayre; 12;
but; 249;
oredoing; 1;
moods; 1;
buy; 4;
volly; 1;
encrease; 1;
hilts; 1;
bestild; 1;
phoebus; 1;
gaue; 7;
been; 3;
beer; 1;
ayry; 1;
moode; 1;
longer; 5;
faining; 1;
roares; 1;
extasie; 4;
gaut; 1;
frownd; 1;
doest; 1;
tongue; 14;
ambassadors; 3;
hyre; 1;
stronger; 4;
longed; 1;
paint; 1;
dismantled; 1;
modestie; 4;
gate; 2;
picture; 2;
obiects; 1;
vouchers; 2;
harlots; 1;
insinuation; 1;
ingagd; 1;
sing; 5;
paine; 1;
adheres; 1;
pearle; 1;
reuengefull; 1;
vantage; 2;
north; 1;
israel; 1;
iigge; 1;
grandsire; 1;
stalkes; 1;
crownes; 1;
crowner; 1;
orderly; 1;
turne; 4;
gallowes; 4;
obiect; 1;
opend; 1;
resort; 1;
turnd; 4;
hurts; 1;
interre; 1;
importund; 1;
ordenance; 1;
afoot; 1;
inheritance; 1;
begin; 6;
complie; 1;
organ; 1;
quite; 4;
crowne; 6;
heeles; 4;
rapiers; 3;
guiltlesse; 1;
conuert; 2;
their; 48;
mowes; 1;
